Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
Kepler-1697 b,0,0,0.005,0.11,0.00668,526,442,3.121,33.4969,4.111,11.2,247.77,4682,4.54,TRUE,nexsci
CoRoT-10 b,0,0.013,0.007,0.97,2.75,796,670,3.86,13.2406,2.98,11.8,338.39,5075,4.65,TRUE,nexsci
CoRoT-14 b,0.057,0.024,0.001,1.09,7.6,2317,1948,4.2,1.5121,1.662,13.8,1744.6,6035,4.35,TRUE,nexsci
CoRoT-18 b,0.082,0.062,0.01,1.31,3.47,1816,1527,3.7,1.9001,2.387,13,764.89,5440,4.4,TRUE,nexsci
CoRoT-20 b,0.001,0.009,0.002,0.84,4.3,1135,955,4.179,9.2429,2.2248,12.5,844.06,5880,4.35,TRUE,nexsci
CoRoT-24 b,0,0.002,0.029,0.33,0.018,1112,935,2.612,5.1134,2.85,12.9,591.55,4950,4.55,TRUE,nexsci
CoRoT-27 b,0.019,0.024,0.001,1.01,10.39,1612,1355,4.405,3.5753,2.77,13,1010.28,5900,4.4,TRUE,nexsci
CoRoT-2 b,0.417,0.314,0.058,1.47,3.47,1840,1547,3.602,1.743,2.267,10.3,213.28,5625,4.53,TRUE,nexsci
CoRoT-5 b,,,,1.39,0.467,1716,1443,2.779,4.0379,,12.5,882.47,6100,4.19,TRUE,nexsci
CoRoT-9 b,0,0.002,0.023,1.07,0.84,498,419,3.263,95.2727,8.268,11.7,412.98,5625,4.54,TRUE,nexsci
K2-165 d,,,,0.24,0.0236,,,3.021,14.1014,,9.5,134.59,5185,4.46,TRUE,nexsci
K2-169 b,,,,0.11,0.00681,,,3.114,6.3808,3.096,10.4,235.87,5548,4.56,TRUE,nexsci
K2-171 b,,,,0.24,0.0242,,,3.018,5.6285,8.208,10.5,606.13,5250,3.95,TRUE,nexsci
K2-173 b,,,,0.14,0.0101,,,3.088,5.8687,2.825,10.3,228.64,5580,4.52,TRUE,nexsci
K2-177 b,,,,0.19,0.0161,,,3.048,14.1552,,10.6,492.17,6063,4.38,TRUE,nexsci
K2-190 b,,,,0.12,0.00758,,,3.108,10.0989,4.224,9.4,160.68,5631,4.38,TRUE,nexsci
K2-198 b,,,,0.37,0.0514,,716,2.959,17.0429,2.9592,9.2,110.57,5213,4.6,TRUE,nexsci
K2-201 c,,,,0.29,0.034,,,2.992,22.7799,3.648,10.2,197.93,5507,4.68,TRUE,nexsci
K2-204 b,,,,0.27,0.0299,,,3.001,7.0558,4.464,11.5,577.24,5755,4.23,TRUE,nexsci
K2-207 b,,,,0.23,0.023,,,3.025,12.4875,4.296,11.4,363.06,5522,4.41,TRUE,nexsci
K2-210 b,,,,0.07,0.00149,,,2.841,0.5702,,9.9,176.51,5396,4.55,TRUE,nexsci
K2-218 b,,,,0.23,0.0224,,,3.025,8.6799,3.84,11.2,394.08,5757,4.45,TRUE,nexsci
K2-219 d,,,,0.23,0.0225,,,3.023,11.1373,4.896,10.4,325.4,5753,4.23,TRUE,nexsci
Kepler-117 c,0,0.004,0.004,1.1,1.84,845,711,3.575,50.7904,10.8474,13,1455.57,6150,4.1,TRUE,nexsci
Kepler-426 b,0.021,0.029,0.051,1.09,0.34,1548,1301,2.851,3.2175,2.1148,13.2,843.7,5725,4.47,TRUE,nexsci
Kepler-434 b,0.002,0.008,0.003,1.13,2.86,1191,1001,3.744,12.8747,2.2491,13,1222.54,5977,4.24,TRUE,nexsci
Kepler-87 c,0,0,0.03,0.55,0.02,527,443,2.218,191.2318,16.942,13,1232.9,5600,3.96,TRUE,nexsci
CoRoT-29 b,0.013,0.022,0.012,0.9,0.85,1456,1225,3.415,2.8506,2.19,13,806.51,5260,4.3,TRUE,nexsci
CoRoT-3 b,0.049,0.032,0.001,1.01,21.66,2007,1688,4.721,4.2568,3.384,11.6,768.77,6740,4.22,TRUE,nexsci
CoRoT-4 b,,,,1.19,0.72,1280,1076,3.1,9.202,,12.3,726.41,6190,4.41,TRUE,nexsci
CoRoT-6 b,0.007,0.032,0.01,1.17,2.96,1206,1014,3.732,8.8866,4.08,12.1,645.29,6090,4.43,TRUE,nexsci
CoRoT-1 b,,,,1.49,1.03,2167,1822,3.061,1.509,,12.1,787.91,5950,4.25,TRUE,nexsci
CoRoT-23 b,0.043,0.028,0.005,1.05,2.8,1959,1648,3.799,3.6313,3.888,12.4,1060.97,5900,4.3,TRUE,nexsci
CoRoT-8 b,0.001,0.012,0.027,0.57,0.22,1018,856,3.225,6.2123,2.74,11.5,322.04,5080,4.58,TRUE,nexsci
CoRoT-24 c,0,0.002,0.014,0.44,0.088,841,707,3.052,11.759,4.8,12.9,591.55,4950,4.55,TRUE,nexsci
CoRoT-25 b,0.013,0.019,0.043,1.08,0.27,1572,1322,2.759,4.8607,1.92,12.8,1103.48,6040,4.31,TRUE,nexsci
CoRoT-11 b,0.164,0.095,0.027,1.43,2.33,2070,1741,3.451,2.9943,2.5009,11.2,655.04,6440,4.22,TRUE,nexsci
CoRoT-12 b,0.043,0.041,0.031,1.44,0.917,1719,1445,3.04,2.828,2.5742,13.6,1126.37,5675,4.38,TRUE,nexsci
CoRoT-13 b,0.01,0.017,0.007,0.89,1.308,1517,1276,3.617,4.0352,3.14,13.4,1148.93,5945,4.46,TRUE,nexsci
CoRoT-26 b,0.035,0.025,0.026,1.26,0.52,1870,1572,2.909,4.2047,5.47,13.3,1045.18,5590,3.99,TRUE,nexsci
CoRoT-16 b,0.011,0.021,0.028,1.17,0.535,1422,1196,2.986,5.3523,2.39,12.8,732.41,5650,4.36,TRUE,nexsci
BD+20 594 b,,,,0.23,0.07,700,589,3.516,41.6855,,9.4,179.46,5766,4.5,TRUE,nexsci
OGLE-TR-211 b,0.052,0.03,0.018,1.36,1.03,2057,1730,3.14,3.6772,4.4112,13.4,1515.26,6325,4.17,TRUE,nexsci
SWEEPS-4 b,,,,0.81,3.8,,,4.157,4.2,,,8500,,,TRUE,nexsci
55 Cnc e,0.271,0.099,0.213,0.17,0.02514,2314,1946,3.349,0.7365,1.5792,4,12.59,5172,4.43,TRUE,nexsci
WASP-105 b,0.005,0.055,0.027,0.96,1.8,1007,847,3.685,7.8729,3.72,9.9,169.27,5070,4.2,TRUE,nexsci
WASP-114 b,0.344,0.127,0.036,1.34,1.769,2412,2029,3.388,1.5488,2.7821,11.1,523.34,5940,4.3,TRUE,nexsci
WASP-129 b,0.017,0.056,0.038,0.93,1,1281,1077,3.457,5.7481,2.6856,10.4,301.46,5900,4.53,TRUE,nexsci
WASP-5 b,0.258,0.145,0.041,1.09,1.58,2030,1707,3.52,1.6284,2.4134,10.6,309.14,5700,4.39,TRUE,nexsci
CoRoT-17 b,0.044,0.028,0.005,1.02,2.43,1933,1626,3.763,3.7681,4.72,12.5,1176.12,5740,4.4,TRUE,nexsci
CoRoT-28 b,0.03,0.033,0.03,0.95,0.484,1605,1349,3.119,5.2085,5.7,11,766.18,5150,3.6,TRUE,nexsci
CoRoT-19 b,0.085,0.054,0.029,1.29,1.11,1971,1657,3.218,3.8971,4.7,11.8,790.66,6090,4.07,TRUE,nexsci
CoRoT-22 b,0.001,0.004,0.038,0.43,0.038,1199,1008,2.697,9.756,4.492,12,627.16,5939,4.36,TRUE,nexsci
CoRoT-7 b,0.01,0.005,0.02,0.15,0.01283,2113,1777,3.15,0.8536,1.059,9.8,159.91,5275,4.5,TRUE,nexsci
CoRoTID 223977153 b,0.001,0.009,0.029,0.57,0.15,1142,960,3.059,6.7184,2.496,12.2,576.68,5970,4.67,TRUE,nexsci
EPIC 211822797 b,0,0,0.013,0.18,0.0144,496,417,3.057,21.1699,3.48,11.4,186.2,4148,4.65,TRUE,nexsci
EPIC 211945201 b,0.001,0.01,0.066,0.51,0.08495,1062,893,2.901,19.4922,3.91,8.8,181.69,6069,4.22,TRUE,nexsci
EPIC 220674823 b,0.021,0.005,0.012,0.16,0.02429,2755,2316,3.361,0.5713,1.532,10.3,244.59,5617,4.45,TRUE,nexsci
EPIC 220674823 c,0,0.002,0.028,0.24,0.01825,965,812,2.881,13.3391,3.4392,10.3,244.59,5617,4.45,TRUE,nexsci
EPIC 246851721 b,0.055,0.062,0.012,1.05,3,1668,1403,3.828,6.1802,4.1081,9.9,372.63,6202,4.16,TRUE,nexsci
GJ 1132 b,,,,0.1,0.00522,695,584,3.103,1.6289,,8.3,12.61,3270,4.88,TRUE,nexsci
GJ 1214 b,0,0.028,0.329,0.24,0.02571,700,588,3.026,1.5804,0.8688,8.8,14.64,3250,5.03,TRUE,nexsci
GJ 3470 b,0.001,0.037,0.322,0.41,0.04373,813,683,2.814,3.3366,1.8984,8,29.42,3600,4.7,TRUE,nexsci
GJ 436 b,0.002,0.079,0.386,0.37,0.07,818,688,3.098,2.6439,1.0054,6.1,9.75,3586,4.79,TRUE,nexsci
GJ 143 b,0,0.003,0.063,0.23,0.07142,505,425,3.513,35.6125,3.23,5.4,16.32,4640,4.61,TRUE,nexsci
EPIC 201841433 b,0,0,0.008,0.09,0.00352,1229,1034,3.004,4.1698,2.4,12.5,436.49,5053,4.59,TRUE,nexsci
GJ 9827 b,0.01,0.017,0.064,0.14,0.01545,1406,1182,3.285,1.209,1.2598,7.2,29.66,4340,4.66,TRUE,nexsci
GJ 9827 c,0,0.005,0.153,0.11,0.00264,973,818,2.725,3.6481,1.8264,7.2,29.66,4340,4.66,TRUE,nexsci
GJ 9827 d,0,0.005,0.093,0.18,0.01271,815,686,2.988,6.2015,1.2264,7.2,29.66,4340,4.66,TRUE,nexsci
HAT-P-11 b,0.004,0.049,0.202,0.39,0.084,986,829,3.139,4.8878,2.3639,7,37.76,4780,4.66,TRUE,nexsci
HAT-P-12 b,0.021,0.106,0.314,0.96,0.211,1138,957,2.755,3.2131,2.3376,10.1,142.75,4650,4.61,TRUE,nexsci
HAT-P-13 b,0.318,0.171,0.103,1.27,0.851,2054,1727,3.115,2.9162,3.228,9,246.81,5653,4.13,TRUE,nexsci
HAT-P-14 b,0.258,0.148,0.029,1.42,3.44,2091,1759,3.626,4.6277,2.1888,8.9,222.66,6600,4.25,TRUE,nexsci
HAT-P-15 b,0.008,0.069,0.035,1.06,1.94,1063,894,3.631,10.8635,5.484,9.6,192.52,5568,4.38,TRUE,nexsci
HAT-P-16 b,0.309,0.212,0.031,1.29,4.193,1935,1627,3.796,2.776,3.0624,9.6,226.64,6158,4.34,TRUE,nexsci
HAT-P-17 b,0.006,0.11,0.218,1.05,0.58,945,794,3.115,10.3385,4.056,8.5,92.38,5246,4.53,TRUE,nexsci
HAT-P-18 b,0.006,0.069,0.295,0.99,0.197,1009,848,2.693,5.508,2.7144,10.2,161.4,4803,4.57,TRUE,nexsci
HAT-P-19 b,0.025,0.102,0.258,1.13,0.292,1200,1009,2.752,4.0088,2.8368,10.5,202.08,4990,4.54,TRUE,nexsci
HAT-P-1 b,0.163,0.225,0.319,1.32,0.525,1573,1323,2.874,4.4653,2.85,8.9,158.98,5980,4.36,TRUE,nexsci
HAT-P-20 b,0.035,0.169,0.013,0.87,7.246,1152,969,4.378,2.8753,1.896,8.6,71.04,4595,4.63,TRUE,nexsci
HAT-P-21 b,0.083,0.105,0.012,1.11,4.87,1586,1334,3.991,4.1245,3.672,10.1,277.28,5588,4.33,TRUE,nexsci
HAT-P-22 b,0.285,0.356,0.08,1.15,2.47,1574,1324,3.666,3.2122,2.8704,7.8,81.76,5302,4.36,TRUE,nexsci
HAT-P-23 b,0.318,0.151,0.05,1.09,1.34,2178,1832,3.446,1.2129,1.9728,10.8,364.81,5905,4.33,TRUE,nexsci
HAT-P-24 b,0.19,0.122,0.102,1.3,0.75,1991,1674,3.041,3.3552,3.694,10.5,415.34,6373,4.27,TRUE,nexsci
HAT-P-25 b,0.045,0.093,0.109,1.14,0.569,1406,1182,3.039,3.6528,2.813,10.8,300.38,5519,4.52,TRUE,nexsci
HAT-P-26 b,0.012,0.043,0.247,0.63,0.07,1241,1044,2.641,4.2345,2.4552,9.6,141.84,5079,4.56,TRUE,nexsci
HAT-P-42 b,0.081,0.081,0.049,1.28,1.044,1699,1429,3.198,4.6419,4.0344,10.6,405.24,5743,4.14,TRUE,nexsci
HAT-P-43 b,0.064,0.076,0.075,1.28,0.662,1613,1356,3,3.3327,3.2496,11.8,528.83,5645,4.37,TRUE,nexsci
HAT-P-27 b,0.05,0.098,0.09,1.02,0.62,1414,1189,3.169,3.0396,1.68,10.1,199.17,5316,4.53,TRUE,nexsci
HAT-P-28 b,0.084,0.095,0.092,1.21,0.626,1640,1379,3.024,3.2572,3.2184,11.1,401.32,5680,4.36,TRUE,nexsci
HAT-P-29 b,0.053,0.081,0.063,1.17,0.88,1541,1296,3.202,5.7232,3.8928,10.3,313.58,6087,4.34,TRUE,nexsci
HAT-P-2 b,0.155,0.186,0.012,0.95,8.7,1652,1390,4.377,5.6335,4.2888,7.6,127.77,6380,4.16,TRUE,nexsci
HAT-P-30 b,0.409,0.251,0.203,1.44,0.83,2021,1700,2.997,2.8106,2.1288,9.2,213.99,6304,4.36,TRUE,nexsci
HAT-P-31 b,0.081,0.092,0.024,1.09,2.27,1660,1396,3.675,5.0054,5.139,10.1,344.05,6065,4.26,TRUE,nexsci
HAT-P-32 b,0.918,0.437,0.523,1.98,0.68,2185,1838,2.633,2.15,3.108,10,289.2,6001,4.22,TRUE,nexsci
HAT-P-33 b,0.51,0.247,0.221,1.85,0.92,2213,1861,2.824,3.4745,4.4136,10,396.11,6446,4.15,TRUE,nexsci
HAT-P-34 b,0.113,0.11,0.022,1.2,3.33,1756,1476,3.76,5.4527,3.1752,9.2,249.32,6442,4.21,TRUE,nexsci
HAT-P-35 b,0.124,0.092,0.056,1.33,1.056,1880,1581,3.169,3.6467,3.936,11,506.96,6096,4.21,TRUE,nexsci
HAT-P-36 b,0.418,0.206,0.055,1.28,1.8482,2117,1780,3.449,1.3273,2.2152,10.6,294.42,5620,4.42,TRUE,nexsci
HAT-P-37 b,0.055,0.081,0.043,1.18,1.169,1520,1278,3.32,2.7974,2.3304,11.7,390.59,5500,4.51,TRUE,nexsci
HAT-P-38 b,0.016,0.05,0.098,0.82,0.267,1282,1078,2.988,4.6404,3.0408,10.5,255.21,5330,4.37,TRUE,nexsci
HAT-P-39 b,0.196,0.112,0.137,1.57,0.599,2080,1749,2.779,3.5439,4.188,11.2,697,6430,4.07,TRUE,nexsci
HAT-P-3 b,0.065,0.126,0.099,0.94,0.65,1410,1186,3.261,2.8997,2.087,9.4,134.55,5185,4.56,TRUE,nexsci
HAT-P-40 b,0.225,0.145,0.21,1.52,0.48,1969,1656,2.712,4.4572,6.1368,10,464.47,6080,3.93,TRUE,nexsci
HAT-P-41 b,0.89,0.307,0.211,2.05,1.19,2543,2138,2.846,2.694,3.6552,9.7,348.19,6390,4.14,TRUE,nexsci
HAT-P-44 b,0.029,0.08,0.173,1.24,0.352,1314,1105,2.753,4.3012,3.1248,11.3,347.85,5295,4.46,TRUE,nexsci
HAT-P-45 b,0.266,0.179,0.138,1.43,0.892,1962,1650,3.036,3.129,3.4464,10.2,298.64,6330,4.3,TRUE,nexsci
HAT-P-46 b,0.114,0.113,0.153,1.28,0.493,1729,1454,2.87,4.4631,3.0984,9.9,290.74,6120,4.25,TRUE,nexsci
HAT-P-49 b,0.725,0.233,0.07,1.59,2.2,2683,2256,3.334,2.6915,4.1088,9.3,350.35,6820,4.1,TRUE,nexsci
HAT-P-4 b,0.262,0.15,0.121,1.27,0.671,2030,1707,3.011,3.0565,4.224,9.8,320.45,5860,4.14,TRUE,nexsci
HAT-P-50 b,0.207,0.099,0.041,1.29,1.35,2206,1855,3.305,3.122,3.6744,10.5,515.46,6280,4.07,TRUE,nexsci
HAT-P-51 b,0.037,0.074,0.177,1.29,0.309,1415,1190,2.661,4.218,3.3672,11.6,440.09,5449,4.39,TRUE,nexsci
HAT-P-52 b,0.034,0.059,0.037,1.01,0.818,1444,1214,3.299,2.7536,2.4072,11.6,361.15,5131,4.48,TRUE,nexsci
HAT-P-53 b,0.163,0.085,0.031,1.32,1.484,2114,1777,3.326,1.9616,2.7936,12.1,666.8,5956,4.31,TRUE,nexsci
HAT-P-54 b,,,,0.94,0.76,977,821,3.325,3.7998,,10.3,143.65,4390,4.67,TRUE,nexsci
HAT-P-55 b,0.05,0.07,0.078,1.18,0.582,1560,1312,3.014,3.5852,2.9352,11.6,511.39,5808,4.43,TRUE,nexsci
HAT-P-56 b,0.383,0.187,0.055,1.51,2.31,2220,1866,3.4,2.7908,2.2711,9.8,320.64,6566,3.39,TRUE,nexsci
HAT-P-57 b,0.777,0.29,0.144,1.74,1.41,2450,2060,3.062,2.4653,3.4987,9.4,279.86,6330,4.25,TRUE,nexsci
HAT-P-5 b,0.152,0.131,0.079,1.21,0.98,1792,1507,3.22,2.7885,2.9208,10.5,303.34,5960,4.37,TRUE,nexsci
HAT-P-65 b,0.347,0.143,0.195,1.89,0.527,2296,1931,2.563,2.6055,4.3656,11.5,738.52,5835,3.98,TRUE,nexsci
HAT-P-66 b,0.206,0.09,0.073,1.59,0.783,2259,1900,2.885,2.9721,4.6992,11.7,935.46,6002,3.99,TRUE,nexsci
HAT-P-67 b,0.799,0.35,0.919,2.08,0.34,2300,1934,2.287,4.8101,6.9888,8.9,371.69,6406,3.85,TRUE,nexsci
HAT-P-6 b,0.368,0.209,0.112,1.48,1.32,2095,1762,3.174,3.853,3.5064,9.3,275.36,6570,4.22,TRUE,nexsci
HAT-P-7 b,0.788,0.24,0.075,1.51,1.84,2702,2272,3.301,2.2047,3.8822,9.3,341.08,6389,4.07,TRUE,nexsci
HATS-13 b,0.044,0.073,0.089,1.21,0.543,1483,1247,2.962,3.044,2.6347,12,421.86,5523,4.52,TRUE,nexsci
HATS-14 b,0.035,0.052,0.026,1.04,1.071,1514,1273,3.391,2.7668,2.6422,12,513.01,5346,4.48,TRUE,nexsci
HAT-P-8 b,0.489,0.265,0.128,1.4,1.28,2101,1767,3.209,3.0763,3.8088,9,211.55,6200,4.15,TRUE,nexsci
HAT-P-9 b,0.118,0.098,0.094,1.39,0.749,1833,1542,2.981,3.9228,3.36,11,455.2,6350,4.29,TRUE,nexsci
HATS-10 b,0.044,0.048,0.046,0.97,0.526,1669,1403,3.143,3.3128,3.0072,11.5,534.89,5880,4.39,TRUE,nexsci
HATS-11 b,0.133,0.078,0.073,1.61,0.83,2074,1744,2.9,3.6192,4.3685,12.2,944.6,6563,4.19,TRUE,nexsci
HATS-12 b,0.042,0.032,0.005,0.69,2.39,1878,1579,4.092,3.1427,4.5238,11.4,746.14,6357,4.36,TRUE,nexsci
HATS-15 b,0.071,0.057,0.012,1.1,2.17,1774,1492,3.644,1.7475,2.2697,12.7,1139.55,5311,4.45,TRUE,nexsci
HATS-16 b,0.086,0.06,0.01,1.3,3.27,1894,1592,3.681,2.6865,2.6208,12.3,757.04,5738,4.24,TRUE,nexsci
HATS-17 b,0.001,0.015,0.01,0.78,1.338,968,814,3.74,16.2546,4.8264,10.7,400.33,5846,4.42,TRUE,nexsci
HATS-2 b,0.204,0.135,0.046,1.17,1.345,1875,1577,3.388,1.3541,2.0688,11.4,341.93,5227,4.48,TRUE,nexsci
HATS-18 b,0.387,0.131,0.03,1.33,1.9795,2459,2068,3.444,0.8378,1.944,12.3,624.37,5600,4.44,TRUE,nexsci
HATS-1 b,0.107,0.128,0.047,1.3,1.855,1629,1370,3.433,3.4465,2.4168,10.6,283.97,5870,4.59,TRUE,nexsci
HATS-22 b,0.005,0.05,0.014,0.95,2.74,1021,858,3.874,4.7228,2.1912,10.9,229.52,4803,4.64,TRUE,nexsci
HATS-23 b,0.188,0.116,0.063,1.86,1.47,1970,1657,3.023,2.1605,1.8048,12.3,639,5780,4.33,TRUE,nexsci
HATS-24 b,0.46,0.174,0.042,1.4,2.26,2409,2026,3.459,1.3485,2.4192,11.4,494.18,6125,4.37,TRUE,nexsci
HATS-25 b,0.048,0.073,0.083,1.26,0.613,1520,1278,2.981,4.2986,3.204,11.4,471.16,5715,4.35,TRUE,nexsci
HATS-26 b,0.256,0.109,0.119,1.75,0.65,2285,1922,2.721,3.3024,5.2152,11.4,861.84,6071,3.94,TRUE,nexsci
HATS-27 b,0.107,0.071,0.099,1.5,0.53,1970,1657,2.766,4.637,4.8312,11.6,816.99,6438,4.11,TRUE,nexsci
HATS-28 b,0.037,0.06,0.058,1.19,0.672,1488,1251,3.068,3.1811,2.3544,12.1,535.38,5498,4.48,TRUE,nexsci
HATS-29 b,0.046,0.089,0.1,1.25,0.653,1437,1209,3.015,4.6059,3.2112,10.9,353.89,5670,4.39,TRUE,nexsci
HATS-30 b,0.095,0.102,0.088,1.18,0.706,1682,1414,3.103,3.1744,2.7504,10.8,342.14,5943,4.42,TRUE,nexsci
HATS-31 b,0.189,0.092,0.072,1.64,0.88,2170,1825,2.909,3.378,4.5936,11.6,773.97,6050,4,TRUE,nexsci
HATS-32 b,0.05,0.049,0.032,1.25,0.92,1709,1437,3.165,2.8127,2.8536,12.7,745.12,5700,4.4,TRUE,nexsci
HATS-33 b,0.164,0.163,0.081,1.23,1.192,1698,1428,3.291,2.5496,2.676,10.3,248.46,5659,4.45,TRUE,nexsci
HATS-34 b,0.094,0.086,0.059,1.43,0.941,1716,1443,3.057,2.1062,1.5552,12.1,508.84,5380,4.43,TRUE,nexsci
HATS-35 b,0.381,0.146,0.071,1.46,1.222,2415,2031,3.15,1.821,3.1176,11.1,514.55,6300,4.24,TRUE,nexsci
HATS-36 b,0.024,0.034,0.007,1.15,3.216,1565,1316,3.778,4.1752,3.3792,12.8,856.44,5950,4.4,TRUE,nexsci
HATS-39 b,0.112,0.078,0.098,1.57,0.63,1957,1646,2.802,4.5776,3.732,11.5,878.52,6572,4.16,TRUE,nexsci
HATS-3 b,0.177,0.12,0.075,1.38,1.071,1957,1645,3.144,3.5479,3.5856,10.7,411.21,6351,4.22,TRUE,nexsci
HATS-40 b,0.156,0.057,0.023,1.58,1.59,2491,2095,3.198,3.2643,5.3304,12.1,1342.29,6460,3.92,TRUE,nexsci
HATS-41 b,0.064,0.041,0.003,1.33,9.7,1995,1678,4.133,4.1936,2.196,11.5,737.67,6424,4.14,TRUE,nexsci
HATS-42 b,0.144,0.068,0.021,1.4,1.88,2201,1851,3.376,2.2921,3.2664,12.2,800.38,6060,4.2,TRUE,nexsci
HATS-43 b,0.015,0.069,0.213,1.18,0.261,1184,995,2.667,4.3888,2.9885,11.6,362.27,5099,4.54,TRUE,nexsci
HATS-44 b,0.023,0.044,0.044,1.07,0.56,1406,1182,3.086,2.7439,1.6512,12.2,446.04,5080,4.51,TRUE,nexsci
HATS-45 b,0.053,0.047,0.046,1.29,0.7,1803,1516,3.021,4.1876,3.0456,12.1,772.11,6450,4.3,TRUE,nexsci
HATS-46 b,0.008,0.029,0.104,0.9,0.173,1254,1055,2.721,4.7424,2.4336,12,453.81,5495,4.54,TRUE,nexsci
HATS-4 b,0.05,0.064,0.024,1.02,1.323,1570,1321,3.499,2.5167,2.5272,11.6,416.46,5403,4.51,TRUE,nexsci
HATS-50 b,0.033,0.041,0.065,1.13,0.39,1618,1361,2.879,3.8297,3.0792,12.3,756.74,5990,4.41,TRUE,nexsci
HATS-51 b,0.138,0.105,0.088,1.41,0.768,1840,1547,2.981,3.3489,3.3216,10.9,389.57,5758,4.2,TRUE,nexsci
HATS-52 b,0.258,0.116,0.029,1.38,2.24,2234,1879,3.463,1.3667,2.0904,12.1,555.13,6010,4.45,TRUE,nexsci
HATS-53 b,0.051,0.071,0.084,1.34,0.595,1557,1309,2.915,3.8538,3.5064,12,585.77,5644,4.34,TRUE,nexsci
HATS-5 b,0.013,0.054,0.143,0.91,0.237,1219,1025,2.849,4.7634,2.9856,10.7,246.38,5304,4.53,TRUE,nexsci
HATS-6 b,0.002,0.053,0.147,1,0.319,847,712,2.9,3.3253,2.041,11.2,169.32,3724,4.68,TRUE,nexsci
HATS-7 b,0.008,0.023,0.063,0.56,0.12,1284,1080,2.972,3.1853,2.2992,11,240.71,4985,4.54,TRUE,nexsci
HATS-8 b,0.016,0.022,0.073,0.87,0.138,1574,1323,2.652,3.5839,3.0312,12.7,794.64,5679,4.39,TRUE,nexsci
HATS-9 b,0.201,0.082,0.044,1.24,0.837,2270,1909,3.133,1.9153,3.5083,11.5,638.7,5599,4.1,TRUE,nexsci
HD 106315 b,0.002,0.006,0.025,0.22,0.03964,1374,1155,3.315,9.5524,3.775,7.9,109.35,6327,4.25,TRUE,nexsci
HD 106315 c,0.001,0.011,0.099,0.39,0.04782,1056,888,2.896,21.057,4.693,7.9,109.35,6327,4.25,TRUE,nexsci
HD 149026 b,0.344,0.21,0.187,0.74,0.38,2014,1694,3.236,2.8759,3.24,6.8,75.86,6179,4.37,TRUE,nexsci
HD 17156 b,0.01,0.092,0.029,1.1,3.51,1069,899,3.857,21.2166,3.1435,6.8,78.09,6040,4.2,TRUE,nexsci
HD 189733 b,0.784,1.449,0.749,1.13,1.13,1419,1193,3.341,2.2186,1.8036,5.5,19.76,5052,4.49,TRUE,nexsci
HD 209458 b,1.07,0.999,0.973,1.39,0.73,1756,1477,2.972,3.5247,3.072,6.3,48.3,6091,4.45,TRUE,nexsci
HD 219134 b,0.009,0.033,0.187,0.14,0.01491,1209,1016,3.257,3.0929,0.945,3.3,6.53,4699,4.57,TRUE,nexsci
HD 219134 c,0.001,0.018,0.175,0.14,0.01372,931,783,3.271,6.7646,1.66,3.3,6.53,4699,4.57,TRUE,nexsci
HD 3167 b,0.043,0.02,0.07,0.15,0.01579,2168,1823,3.229,0.9596,1.65,7.1,47.29,5528,4.53,TRUE,nexsci
HD 3167 c,0,0.004,0.092,0.26,0.03083,689,579,3.07,29.8383,4.81,7.1,47.29,5528,4.53,TRUE,nexsci
HD 3167 d,,,,0.23,0.02171,1005,845,3.027,8.509,,7.1,47.29,5261,4.47,TRUE,nexsci
HD 80606 b,0,0.011,0.033,1.07,4.38,481,405,3.977,111.4367,11.9,7.3,66.47,5561,4.42,TRUE,nexsci
HD 89345 b,0.014,0.042,0.168,0.66,0.11,1296,1089,2.797,11.8143,5.7336,7.7,132.34,5576,4.02,TRUE,nexsci
HD 97658 b,0.001,0.013,0.117,0.19,0.02611,900,757,3.258,9.4897,2.8488,5.7,21.56,5212,4.64,TRUE,nexsci
HIP 116454 b,,,,0.22,0.04,823,692,3.311,9.1205,,8,62.45,5089,4.59,TRUE,nexsci
HIP 41378 b,,,,0.26,0.0275,,,3.007,15.5721,,7.7,106.29,6226,4.18,TRUE,nexsci
HIP 41378 c,,,,0.23,0.0223,,,3.027,31.7065,,7.7,106.29,6226,4.18,TRUE,nexsci
HIP 41378 d,,,,0.35,0.0467,,,2.968,1114,12.71,7.7,106.29,6226,4.2,TRUE,nexsci
HIP 41378 e,,,,0.49,0.0819,,,2.924,131,13.007,7.7,106.29,6226,4.18,TRUE,nexsci
HIP 41378 f,,,,0.91,0.233,,,2.843,1084,18.998,7.7,106.29,6226,4.2,TRUE,nexsci
K2-100 b,0.037,0.017,0.035,0.35,0.06859,2188,1840,3.152,1.6739,1.6056,9.2,188.96,5945,4.33,TRUE,nexsci
K2-101 b,,,,0.18,0.0147,,,3.061,14.6773,3.312,10.5,188.33,4819,4.51,TRUE,nexsci
K2-102 b,,,,0.12,0.00705,,,3.113,9.9156,2.688,10.6,188.18,4695,4.53,TRUE,nexsci
K2-104 b,0,0.002,0.016,0.17,0.0142,939,789,3.06,1.9742,1.44,12,189.29,3546,4.74,TRUE,nexsci
K2-111 b,0.002,0.003,0.014,0.16,0.01664,1551,1304,3.196,5.3518,3.38,9.4,200.39,5775,4.25,TRUE,nexsci
